"﻿""№ ГОЛОСА""",ИЗБИР. ОКРУГ,АДРЕС ГОЛОСА В БЛОКЧЕЙНЕ,БЛОК ГОЛОСА,ВРЕМЯ ЗАПИСИ БЛОКА ГОЛОСА,НОМЕР КАНДИДАТА,ИМЯ КАНДИДАТА
0,10,0x2e02c0464A3820E889f9dC5b943F9482e99b585c,#668,08:02:58,606684814,Картавцева
1,1,0x49C1846fD3Ba137ea65D1Cac8F34EAbE019c6472,#668,08:02:58,3595230402,Ульянченко
2,10,0x5C65256e5DE2B43F502C6a59F644c19A53192501,#668,08:02:58,606684814,Картавцева
3,1,0x1bE9aC7E1b15A125f120ae8052c7D8290aB4720a,#668,08:02:58,4266376216,Титов
4,1,0x19F53A1d401c6f52BD6eD4d6eafC6C4Fe6De93f0,#668,08:02:58,4266376216,Титов
5,10,0xffaA08191f8aFE78F5ba634b46dC55636B4Ec15f,#668,08:02:58,606684814,Картавцева
6,1,0xB11F4852D9Ba5fF8496244e9E766C872789580B3,#668,08:02:58,3595230402,Ульянченко
7,30,0x02eD77729CdEb627A06AA9D780AEf2DA60850832,#668,08:02:58,3675433019,Русецкая
8,10,0x45EC671E2671f47bD4A48A04773Ef19815F56Be5,#668,08:02:58,606684814,Картавцева
9,10,0xf87DDd7fF6662D46c3424dd64BeCAFBFd2Bee213,#668,08:02:58,606684814,Картавцева
10,10,0xE0151593ADc7F480a4a08324BA671B70ecf44269,#668,08:02:58,4040463197,Дашкевич
11,30,0x81B8320229C6622ba709029Fa10a2D8daC39b9C2,#668,08:02:58,3675433019,Русецкая
12,30,0xDFA0bE254277256981A3342E162d92828e382079,#668,08:02:58,3675433019,Русецкая
13,1,0xc80bffa62A64276A6a134707184d03618BD8eB3c,#668,08:02:58,3595230402,Ульянченко
14,30,0x0b58717EB78B18fFBc8F7FEAfd02C84662e8f1e0,#668,08:02:58,3675433019,Русецкая
15,30,0xC2f9BA9e397C67743B32f082bc41DaAAA2C54EB1,#668,08:02:58,3675433019,Русецкая
16,10,0xB7fF57b8Eb32F1D5Dc01f6feC7fE823aaE510037,#668,08:02:58,1351664840,Суворов
17,30,0x86C87f7E7a2D13d82adFae840b6cF8d08Cb5C7E7,#668,08:02:58,2381501672,Юнеман
18,30,0x8D1484C60428bfEa917619E907E3a1Bce3Aa9E40,#668,08:02:58,2381501672,Юнеман
19,30,0xE239E6982bf9D46C324E48CF21742C8105D60689,#668,08:02:58,3675433019,Русецкая
20,30,0x71Ec37e6D6931EdDC293D01efDe365bdF40d30eD,#668,08:02:58,3675433019,Русецкая
21,10,0xE7F3467EAA2796cBf3eD59F92d5C6029199003eB,#668,08:02:58,1351664840,Суворов
22,1,0x10909e1F2999AC0D5935F75618F44efe5caa3174,#668,08:02:58,3595230402,Ульянченко
23,30,0x0c3cD4A3AF832B9844262437c7Da9B707B63145B,#668,08:02:58,2544658436,Жуковский
24,30,0x28089A846228028aa5b590911BB9B905bDE53E48,#706,08:05:08,2563724978,Викулин
25,10,0x89BB06bC4BF0cED6aab9c049D5277E1e91187A43,#706,08:05:08,339493321,Крюков
26,1,0x50A812dA0695C8ebCB3A448a6Eeb83A428ff8AbE,#706,08:05:08,4266376216,Титов
27,1,0xD4dAc80f9D4ebe7ffb6804D07Be53C8DAdbFA5ef,#706,08:05:08,4266376216,Титов
28,1,0xEb5B3F54c983283DABEd9b9bbcBAE72302624D58,#706,08:05:08,4266376216,Титов
29,30,0x12A59A024021e864dD7762b631794169F085EA8d,#706,08:05:08,3675433019,Русецкая
30,30,0x8f2Dc960a20fFfa0579690eBfEA416b805C5abb2,#706,08:05:08,3675433019,Русецкая
31,1,0xe6AeC2CA03AA3097e5A663529652126f3cA84C4D,#706,08:05:08,4266376216,Титов
32,30,0xf584c45003F7FC6fa89eFFf5444De0C4e18fdE7e,#706,08:05:08,3675433019,Русецкая
33,1,0xaaBb7B465F4Df4fFbdf711a90c6d9199dabDcBA7,#706,08:05:08,4266376216,Титов
34,30,0xDAF62F98FEfcA28049EfCda196174Adf00D9B9A4,#706,08:05:08,3675433019,Русецкая
35,10,0xe8739327949FF0A5d2057405cb32021e0d649Fc0,#706,08:05:08,339493321,Крюков
36,1,0x8812E7B9fC54EA6BbcD3261852633a46024D8a62,#706,08:05:08,4266376216,Титов
37,10,0xF62CE1937C1aCb9Ae570F8A93a45DfD555EDafbD,#706,08:05:08,606684814,Картавцева
38,30,0x690e86e67bDf0c6F53816d5ec3Dc86544267C70e,#706,08:05:08,3675433019,Русецкая
39,10,0x3AFF415c325A6781030c17A84F9400392e601e1d,#706,08:05:08,1351664840,Суворов
40,30,0xDD4434Eaa9A0A9A4ce0aF95E783690e600A17ce9,#706,08:05:08,2381501672,Юнеман
41,30,0xf77d5713e492cb7C3bd82E532A308B09d1b293F8,#706,08:05:08,2381501672,Юнеман
42,30,0x93cB80E9130A19cddBB2aE397a086345D71E4E9f,#706,08:05:08,3675433019,Русецкая
43,1,0xb55cecE6dc9A2B53EC564Ab5ba82aa13050e6514,#706,08:05:08,4266376216,Титов
44,10,0xd51C455e5c724070e6575E4c8cc18eA1CAb1b452,#706,08:05:08,606684814,Картавцева
45,10,0xB0Ab967893C5536d7dE4DE1e13EbBFc3043a3381,#706,08:05:08,606684814,Картавцева
46,1,0xEF1C59E8f8E89961f2Ad91E849F264Ae968138C4,#706,08:05:08,4266376216,Титов
47,1,0x251D8dDd63b188c3D4D5E8E2925bDB26EFEc7D52,#706,08:05:08,4266376216,Титов
48,1,0xcdaaeF030f969ae9Bd06198BBcda65DB8B9961D4,#706,08:05:08,4266376216,Титов
